FICE,Institution,Discipline,Total SCH,Percentage of SCH
3581,LU,Physical Training,0,0
3581,LU,Health Services,35040,0.097983837
3581,LU,Pharmacy,0,0
3581,LU,Business Administration,39380,0.110119963
3581,LU,Optometry,0,0
3581,LU,Teacher Ed-Practice Teaching,678,0.00189592
3581,LU,Technology,1614,0.004513297
3581,LU,Nursing,11848,0.033131065
3606,SHSU,Liberal Arts,244326,0.475472844
3606,SHSU,Science,63853,0.124261714
3606,SHSU,Fine Arts,31186,0.0606898
3606,SHSU,Teacher Education,32777,0.06378598
3606,SHSU,Agriculture,13949,0.027145579
3606,SHSU,Engineering,6547,0.012740849
3606,SHSU,Home Economics,5314,0.010341358
3606,SHSU,Law,0,0
3606,SHSU,Social Service,0,0
3606,SHSU,Library Science,2276,0.004429231
3606,SHSU,Veterinary Science,0,0
3606,SHSU,Vocational Training,663,0.001290237
3606,SHSU,Physical Training,0,0
3606,SHSU,Health Services,21386,0.041618421
3606,SHSU,Pharmacy,0,0
3606,SHSU,Business Administration,63270,0.123127161
3606,SHSU,Optometry,0,0
3606,SHSU,Teacher Ed-Practice Teaching,1884,0.003666375
3606,SHSU,Technology,18178,0.035375463
3606,SHSU,Nursing,8250,0.016054988
3615,TXST,Liberal Arts,419341,0.457071822
3615,TXST,Science,130641,0.142395616
3615,TXST,Fine Arts,68714,0.074896643
3615,TXST,Teacher Education,35182,0.038347552
3615,TXST,Agriculture,9689,0.010560782
3615,TXST,Engineering,44408,0.048403675
3615,TXST,Home Economics,26031,0.028373177
3615,TXST,Law,0,0
3615,TXST,Social Service,14000,0.015259671
3615,TXST,Library Science,0,0
3615,TXST,Veterinary Science,0,0
3615,TXST,Vocational Training,7413,0.008079996
3615,TXST,Physical Training,0,0
3615,TXST,Health Services,45988,0.050125838
3615,TXST,Pharmacy,0,0
3615,TXST,Business Administration,92832,0.101184695
3615,TXST,Optometry,0,0
3615,TXST,Teacher Ed-Practice Teaching,4050,0.004414405
3615,TXST,Technology,12079,0.013165826
3615,TXST,Nursing,7083,0.007720303
3625,SRSU,Liberal Arts,23163,0.470687448
3625,SRSU,Science,6666,0.13545752
3625,SRSU,Fine Arts,1754,0.035642438
3625,SRSU,Teacher Education,6419,0.130438317
3625,SRSU,Agriculture,2437,0.049521448
3625,SRSU,Engineering,261,0.005303692
3625,SRSU,Home Economics,339,0.006888704
3625,SRSU,Law,0,0
3625,SRSU,Social Service,0,0
3625,SRSU,Library Science,0,0
3625,SRSU,Veterinary Science,0,0
3625,SRSU,Vocational Training,15,0.00030481
3625,SRSU,Physical Training,78,0.001585011
3625,SRSU,Health Services,1329,0.027006157
3625,SRSU,Pharmacy,0,0
3625,SRSU,Business Administration,5370,0.109121944
3625,SRSU,Optometry,0,0
3625,SRSU,Teacher Ed-Practice Teaching,411,0.008351791
3625,SRSU,Technology,879,0.01786186
3625,SRSU,Nursing,90,0.001828859
