FICE,Institution,Discipline,Total SCH,Percentage of SCH
10115,UTSA,Health Services,7746,0.009370566
10115,UTSA,Pharmacy,0,0
10115,UTSA,Business Administration,100459,0.121528227
10115,UTSA,Optometry,0,0
10115,UTSA,Teacher Ed-Practice Teaching,2145,0.00259487
10115,UTSA,Technology,5526,0.006684966
10115,UTSA,Nursing,0,0
11163,UTT,Liberal Arts,59971,0.276530993
11163,UTT,Science,28715,0.132407121
11163,UTT,Fine Arts,6186,0.028524132
11163,UTT,Teacher Education,12667,0.058408532
11163,UTT,Agriculture,0,0
11163,UTT,Engineering,19304,0.089012261
11163,UTT,Home Economics,378,0.001742988
11163,UTT,Law,0,0
11163,UTT,Social Service,111,0.00051183
11163,UTT,Library Science,0,0
11163,UTT,Veterinary Science,0,0
11163,UTT,Vocational Training,0,0
11163,UTT,Physical Training,0,0
11163,UTT,Health Services,9063,0.041790205
11163,UTT,Pharmacy,0,0
11163,UTT,Business Administration,34154,0.157486778
11163,UTT,Optometry,0,0
11163,UTT,Teacher Ed-Practice Teaching,516,0.002379317
11163,UTT,Technology,3954,0.018232205
11163,UTT,Nursing,41850,0.192973638
3632,TAMU,Liberal Arts,451124,0.270359971
3632,TAMU,Science,388944,0.23309531
3632,TAMU,Fine Arts,49117,0.029435966
3632,TAMU,Teacher Education,42151,0.025261221
3632,TAMU,Agriculture,87507,0.052443209
3632,TAMU,Engineering,332210,0.199094453
3632,TAMU,Home Economics,983,0.000589115
3632,TAMU,Law,18039,0.010810827
3632,TAMU,Social Service,0,0
3632,TAMU,Library Science,99,5.93E-05
3632,TAMU,Veterinary Science,14352,0.008601197
3632,TAMU,Vocational Training,0,0
3632,TAMU,Physical Training,0,0
3632,TAMU,Health Services,22313,0.013372248
3632,TAMU,Pharmacy,0,0
3632,TAMU,Business Administration,203266,0.121817926
3632,TAMU,Optometry,0,0
3632,TAMU,Teacher Ed-Practice Teaching,3018,0.001808696
3632,TAMU,Technology,55482,0.03325053
3632,TAMU,Nursing,0,0
10298,TAMUG,Liberal Arts,15864,0.311737311
10298,TAMUG,Science,16920,0.332488357
10298,TAMUG,Fine Arts,840,0.016506514
10298,TAMUG,Teacher Education,0,0
10298,TAMUG,Agriculture,1117,0.021949734
10298,TAMUG,Engineering,1470,0.0288864
10298,TAMUG,Home Economics,0,0
10298,TAMUG,Law,0,0
10298,TAMUG,Social Service,0,0
10298,TAMUG,Library Science,105,0.002063314
10298,TAMUG,Veterinary Science,0,0
10298,TAMUG,Vocational Training,4894,0.096170096
10298,TAMUG,Physical Training,0,0
10298,TAMUG,Health Services,180,0.00353711
10298,TAMUG,Pharmacy,0,0
10298,TAMUG,Business Administration,8063,0.158442885
10298,TAMUG,Optometry,0,0
10298,TAMUG,Teacher Ed-Practice Teaching,0,0
10298,TAMUG,Technology,1436,0.028218279
10298,TAMUG,Nursing,0,0
3630,PVAMU,Liberal Arts,91556,0.384915497
3630,PVAMU,Science,35013,0.147200034
3630,PVAMU,Fine Arts,9459,0.03976709
3630,PVAMU,Teacher Education,14419,0.060619692
3630,PVAMU,Agriculture,3853,0.016198604
3630,PVAMU,Engineering,25281,0.10628521
3630,PVAMU,Home Economics,7448,0.031312537
3630,PVAMU,Law,0,0
3630,PVAMU,Social Service,3048,0.01281426
3630,PVAMU,Library Science,0,0
3630,PVAMU,Veterinary Science,0,0
3630,PVAMU,Vocational Training,1770,0.007441352
3630,PVAMU,Physical Training,0,0
3630,PVAMU,Health Services,5946,0.024997898
3630,PVAMU,Pharmacy,0,0
3630,PVAMU,Business Administration,25626,0.107735643
3630,PVAMU,Optometry,0,0
3630,PVAMU,Teacher Ed-Practice Teaching,342,0.001437821
3630,PVAMU,Technology,2817,0.011843101
3630,PVAMU,Nursing,11282,0.047431262
3631,TAR,Liberal Arts,113579,0.343209481
3631,TAR,Science,51114,0.154454692
3631,TAR,Fine Arts,9999,0.030214666
3631,TAR,Teacher Education,29614,0.089486662
3631,TAR,Agriculture,26161,0.079052494
3631,TAR,Engineering,14249,0.043057184
3631,TAR,Home Economics,3859,0.011661006
3631,TAR,Law,0,0
3631,TAR,Social Service,6936,0.020958989
3631,TAR,Library Science,0,0
3631,TAR,Veterinary Science,0,0
3631,TAR,Vocational Training,0,0
3631,TAR,Physical Training,0,0
3631,TAR,Health Services,5057,0.015281085
3631,TAR,Pharmacy,0,0
3631,TAR,Business Administration,50654,0.153064678
3631,TAR,Optometry,0,0
3631,TAR,Teacher Ed-Practice Teaching,1068,0.003227249
3631,TAR,Technology,7481,0.022605853
3631,TAR,Nursing,11161,0.033725962
42295,TAMUCT,Liberal Arts,16334,0.357402302
42295,TAMUCT,Science,1842,0.040304582
42295,TAMUCT,Fine Arts,663,0.014507024
42295,TAMUCT,Teacher Education,3082,0.067436874
42295,TAMUCT,Agriculture,0,0
42295,TAMUCT,Engineering,4996,0.109316879
42295,TAMUCT,Home Economics,0,0
42295,TAMUCT,Law,0,0
42295,TAMUCT,Social Service,2142,0.046868846
42295,TAMUCT,Library Science,0,0
42295,TAMUCT,Veterinary Science,0,0
42295,TAMUCT,Vocational Training,0,0
42295,TAMUCT,Physical Training,0,0
42295,TAMUCT,Health Services,687,0.015032165
42295,TAMUCT,Pharmacy,0,0
42295,TAMUCT,Business Administration,13569,0.296901667
42295,TAMUCT,Optometry,0,0
42295,TAMUCT,Teacher Ed-Practice Teaching,138,0.003019562
42295,TAMUCT,Technology,1518,0.033215177
42295,TAMUCT,Nursing,731,0.015994924
